2017-Jun-15 22:52:01.380868 Starting Circus
2017-Jun-15 22:52:01.384870 Ensuring database ../Data/capublic.db exists
2017-Jun-15 22:52:01.388873 Skipping database import 
2017-Jun-15 22:52:01.390875 Selecting all versions of all bills
2017-Jun-15 22:52:20.664363 All versions of all bills selected: 00:00:19.273488
2017-Jun-15 22:52:20.664363 Selecting most recent version of all bills
2017-Jun-15 22:59:49.831847 Most recent version of all bills selected: 00:07:29.167484
2017-Jun-15 23:00:16.863342 Selecting all unevaluated bill versions
2017-Jun-15 23:00:32.738915 Unevaluated bills selected: 00:00:15.875573
2017-Jun-15 23:00:41.824094 Starting Rankings
2017-Jun-15 23:34:08.082402 AB 375 Negative = 3, Positive = 30
2017-Jun-15 23:34:11.144898 AB 376 Negative = 7, Positive = 0
2017-Jun-15 23:34:17.426204 AB 377 Negative = 17, Positive = 10
2017-Jun-15 23:34:21.066865 AB 382 Negative = 0, Positive = 0
2017-Jun-15 23:34:24.254392 AB 384 Negative = 0, Positive = 0
2017-Jun-15 23:34:32.535735 AB 385 Negative = 0, Positive = 0
2017-Jun-15 23:34:35.348256 AB 386 Negative = 13, Positive = 10
2017-Jun-15 23:34:37.582651 AB 388 Negative = 13, Positive = 0
2017-Jun-15 23:34:38.942045 AB 390 Negative = 0, Positive = 0
2017-Jun-15 23:34:41.988930 AB 393 Negative = 4, Positive = 0
2017-Jun-15 23:34:46.488971 AB 395 Negative = 258, Positive = 0
2017-Jun-15 23:34:48.879629 AB 398 Negative = 13, Positive = 0
2017-Jun-15 23:34:51.317151 AB 406 Negative = 0, Positive = 0
2017-Jun-15 23:34:53.879664 AB 411 Negative = 46, Positive = 0
2017-Jun-15 23:34:55.707804 AB 419 Negative = 7, Positive = 0
2017-Jun-15 23:34:57.426569 AB 422 Negative = 0, Positive = 0
2017-Jun-15 23:35:06.223526 AB 424 Negative = 0, Positive = 20
2017-Jun-15 23:35:15.473640 AB 435 Negative = 26, Positive = 10
2017-Jun-15 23:35:18.989280 AB 437 Negative = 35, Positive = 0
2017-Jun-15 23:35:22.786180 AB 448 Negative = 0, Positive = 20
2017-Jun-15 23:35:24.770582 AB 449 Negative = 0, Positive = 0
2017-Jun-15 23:35:26.208084 AB 453 Negative = 0, Positive = 0
2017-Jun-15 23:35:27.317479 AB 457 Negative = 0, Positive = 0
2017-Jun-15 23:35:34.708160 AB 458 Negative = 13, Positive = 0
2017-Jun-15 23:35:36.801929 AB 459 Negative = 23, Positive = 60
2017-Jun-15 23:35:37.630065 AB 461 Negative = 0, Positive = 10
2017-Jun-15 23:35:48.145796 AB 463 Negative = 18, Positive = 0
2017-Jun-15 23:35:52.130206 AB 464 Negative = 0, Positive = 0
2017-Jun-15 23:35:55.677103 AB 465 Negative = 0, Positive = 0
2017-Jun-15 23:35:57.520869 AB 466 Negative = 3, Positive = 10
2017-Jun-15 23:35:59.192771 AB 467 Negative = 0, Positive = 0
2017-Jun-15 23:35:59.442773 AB 468 Negative = 0, Positive = 0
2017-Jun-15 23:36:01.145914 AB 469 Negative = 0, Positive = 0
2017-Jun-15 23:36:03.270937 AB 470 Negative = 276, Positive = 0
2017-Jun-15 23:36:07.599088 AB 471 Negative = 0, Positive = 10
2017-Jun-15 23:36:09.349113 AB 472 Negative = 4, Positive = 0
2017-Jun-15 23:36:09.911608 AB 473 Negative = 74, Positive = 0
2017-Jun-15 23:36:11.583498 AB 475 Negative = 14, Positive = 0
2017-Jun-15 23:36:12.427254 AB 476 Negative = 21, Positive = 0
2017-Jun-15 23:36:12.724134 AB 477 Negative = 66, Positive = 0
2017-Jun-15 23:36:15.864798 AB 479 Negative = 87, Positive = 2
2017-Jun-15 23:36:17.864805 AB 480 Negative = 75, Positive = 0
2017-Jun-15 23:36:26.786775 AB 481 Negative = 12, Positive = 0
2017-Jun-15 23:36:27.833657 AB 483 Negative = 7, Positive = 0
2017-Jun-15 23:36:28.161790 AB 485 Negative = 0, Positive = 0
2017-Jun-15 23:36:35.099348 AB 490 Negative = 0, Positive = 10
2017-Jun-15 23:36:36.474360 AB 491 Negative = 0, Positive = 0
2017-Jun-15 23:36:39.224375 AB 492 Negative = 0, Positive = 0
2017-Jun-15 23:36:47.740077 AB 494 Negative = 11, Positive = 10
2017-Jun-15 23:38:13.615860 AB 496 Negative = 62, Positive = 111
2017-Jun-15 23:38:14.912748 AB 500 Negative = 2, Positive = 0
2017-Jun-15 23:38:38.881717 AB 501 Negative = 2999, Positive = 20
2017-Jun-15 23:38:42.881784 AB 502 Negative = 271, Positive = 30
2017-Jun-15 23:38:59.881918 AB 503 Negative = 22, Positive = 0
2017-Jun-15 23:39:02.522556 AB 504 Negative = 0, Positive = 0
2017-Jun-15 23:39:03.131948 AB 505 Negative = 32, Positive = 0
2017-Jun-15 23:39:29.116561 AB 507 Negative = 795, Positive = 21
2017-Jun-15 23:39:50.507381 AB 509 Negative = 21, Positive = 0
2017-Jun-15 23:39:53.069892 AB 510 Negative = 0, Positive = 0
2017-Jun-15 23:40:08.726285 AB 511 Negative = 520, Positive = 0
2017-Jun-15 23:40:10.413801 AB 514 Negative = 14, Positive = 0
2017-Jun-15 23:40:14.882608 AB 519 Negative = 5, Positive = 0
2017-Jun-15 23:40:16.788858 AB 521 Negative = 7, Positive = 0
2017-Jun-15 23:40:17.991994 AB 523 Negative = 14, Positive = 0
2017-Jun-15 23:40:19.179519 AB 524 Negative = 0, Positive = 10
2017-Jun-15 23:40:37.742187 AB 526 Negative = 20, Positive = 10
2017-Jun-15 23:40:41.007830 AB 527 Negative = 6, Positive = 20
2017-Jun-15 23:40:42.179769 AB 532 Negative = 78, Positive = 0
2017-Jun-15 23:41:15.695658 AB 542 Negative = 36, Positive = 0
2017-Jun-15 23:41:25.508247 AB 544 Negative = 0, Positive = 20
2017-Jun-15 23:41:28.602014 AB 546 Negative = 7, Positive = 10
2017-Jun-15 23:41:29.211395 AB 547 Negative = 0, Positive = 0
2017-Jun-15 23:41:29.914529 AB 548 Negative = 0, Positive = 0
2017-Jun-15 23:41:30.805160 AB 549 Negative = 0, Positive = 0
2017-Jun-15 23:41:32.227046 AB 551 Negative = 0, Positive = 20
2017-Jun-15 23:41:34.242690 AB 553 Negative = 7, Positive = 0
2017-Jun-15 23:41:40.461498 AB 556 Negative = 21, Positive = 0
2017-Jun-15 23:41:53.602255 AB 558 Negative = 221, Positive = 1
2017-Jun-15 23:41:54.805377 AB 560 Negative = 7, Positive = 0
2017-Jun-15 23:41:55.805387 AB 562 Negative = 1, Positive = 0
2017-Jun-15 23:42:01.039810 AB 563 Negative = 29, Positive = 0
2017-Jun-15 23:42:05.211735 AB 565 Negative = 16, Positive = 0
2017-Jun-15 23:42:36.008890 AB 566 Negative = 81, Positive = 40
2017-Jun-15 23:42:42.399574 AB 576 Negative = 105, Positive = 0
2017-Jun-15 23:42:44.290208 AB 579 Negative = 29, Positive = 0
2017-Jun-15 23:42:44.837087 AB 580 Negative = 0, Positive = 0
2017-Jun-15 23:42:45.383981 AB 581 Negative = 0, Positive = 0
2017-Jun-15 23:42:48.399633 AB 582 Negative = 14, Positive = 0
2017-Jun-15 23:42:48.977759 AB 584 Negative = 0, Positive = 0
2017-Jun-15 23:42:55.259054 AB 586 Negative = 8, Positive = 10
2017-Jun-15 23:42:55.993449 AB 587 Negative = 0, Positive = 0
2017-Jun-15 23:42:56.884069 AB 588 Negative = 0, Positive = 0
2017-Jun-15 23:42:58.259082 AB 591 Negative = 0, Positive = 0
2017-Jun-15 23:43:04.962280 AB 595 Negative = 30, Positive = 20
2017-Jun-15 23:43:08.181059 AB 597 Negative = 30, Positive = 0
2017-Jun-15 23:43:25.915603 AB 600 Negative = 62, Positive = 63
2017-Jun-15 23:43:36.696944 AB 601 Negative = 0, Positive = 0
2017-Jun-15 23:43:38.868828 AB 602 Negative = 7, Positive = 21
